ablativisch,
Ablauf,
ablaufen,v
Ablaut,n
ablegen,
ablehnen,v
Ablehnung,n
ableiten,v
Ableitung,n
Ableitungsmatrix (page does not exist),
ablenken,v
Ablenkung,n
abliefern,
ablöschen (page does not exist),
Ablöse,n
ablösen,
Abluft (page does not exist),
ABM,abbr
Abmachung,n
abmagern,v
abmelden,v
abmessen,v
abmischen (page does not exist),
abmurksen (page does not exist),
Abnahme,n
abnehmen,v
abnehmender Mond (page does not exist),
Abnehmer,
Abneigung,n
abnormal,adj
abnutzen,v
Abnutzung,n
Abo,n
Abolitionismus,n
Abonnement,n
Abonnent,n
Abonnentin,
abonnieren,v
Aborigine,
Abort,n
Abpfiff,n
abprallen (page does not exist),
Abraham,proper
abrahamitisch,adj
Abrahamitische Religion (page does not exist),n
Abrakadabra (page does not exist),
Abrasion,n
Abrasionsplatte,n
Abrasionsplattform (page does not exist),
Abraten (page does not exist),
abraten (page does not exist),
Abraumsalz (page does not exist),
abreagieren (page does not exist),
Abreaktion (page does not exist),
Abrechnung,
Abrede,n
abreiben,v
Abreise,n
abreisen,v
abreißen,v
Abreißzettel (page does not exist),
Abrieb,
abrinden (page does not exist),
Abriss,n
Abruka,
abrunden,v
abrupfen (page does not exist),
abrupt,
Absage,n
absagen,
absägen,v
Absalom,
Absatz,n
Absatzzeichen,n
absaugen,v
abschaffen,v
Abschaffung,n
Abschalom (page does not exist),
abschalten,v
abschätzen (page does not exist),
abschätzig,
Abschätzung (page does not exist),
Abschaum,n
Abscheu,n
abscheu (page does not exist),
abscheulich,adj
Abscheulichkeit,
abschieben,v
Abschiebung,n
Abschied,n
Abschiedsspiel (page does not exist),
abschießen (page does not exist),
abschirmen,v
abschlachten,v
Abschlag,n
abschlagen,
abschleifen (page does not exist),
Abschleppen,
abschleppen,v
Abschleppwagen,n
abschließen,v
Abschluss,n
Abschlussfeier (page does not exist),
Abschlussprüfung,n
Abschlußprämie (page does not exist),
Abschlußprovision (page does not exist),
abschmirgeln (page does not exist),
abschnallen (page does not exist),
abschneiden,v
Abschnitt,n
abschöpfen (page does not exist),
Abschottung,n
abschrägen (page does not exist),
Abschrägung (page does not exist),
abschrecken,
abschreckend,
abschreiben,v
Abschreibung,n
abschüssig,
abschütteln (page does not exist),
abschwächen,
abschweifen,v
abschwören,
Abschwung,n
Abscisinsäure (page does not exist),
absehbar,adj
abseilen,
Abseits,n
Abseitsfalle,n
Abseitstor,n
Absender,n
Absenderin (page does not exist),
Absenkung,
absetzbar,adj
absetzen,v
absichern,
Absicht,n
absichtlich,adj
Absinth,n
absitzen (page does not exist),
absolut,adj adv
absolute Monarchie (page does not exist),
absolute Nullpunkt (page does not exist),
Absolutheit (page does not exist),
Absolution,n
Absolutismus,n
Absolutist (page does not exist),
absolutistisch,
Absolutiv (page does not exist),
Absolvent,n
Absolventin,n
absolvieren,v
absondern,v
Absorbanz (page does not exist),
absorbieren,v
Absorbierfähigkeit (page does not exist),
Absorption,n
Absorptionslinie (page does not exist),
abspalten,v
abspecken,v
absperren (page does not exist),
Absperrhahn,n
abspielen,
abspringen,v
abspritzen,v
abstammen (page does not exist),
Abstammung,
Abstand,n
abstauben,
abstecken,v
abstehend (page does not exist),
Absteige (page does not exist),
absteigen,v
absteigend,adj
abstellen,
abstempeln (page does not exist),
absterben,v
Abstieg,n
abstillen (page does not exist),
abstimmen,v
Abstimmung,n
abstimmungsberechtigt,adj
abstinent,adj
Abstinenz,n
Abstinenzler,
abstoßen,v
abstrahieren,v
abstrakt,adj
abstrakte Kunst (page does not exist),
Abstraktion,n
Abstraktionismus (page does not exist),
abstreichen (page does not exist),
abstreifen,v
abstrus,adj adv
abstumpfen,
Absturz,n
abstürzen,v
absurd,
Absurdität,n
Abszess,n
Abszeß,n
Abszisse,n
Abt,n
abtauchen (page does not exist),
Abtei,n
Abteil,n
abteilen,
Abteilung,n
Abtei von Westmünster (page does not exist),
Äbtin (page does not exist),
Äbtissin,n
abtöten,v
abtragen,v
abträglich,adj
abtransportieren,v
abtreiben,v
abtreibend,
Abtreibung,n
Abtreibungsmittel (page does not exist),
abtrennen,v
abtreten,
Abtritt (page does not exist),
abtrünnig,adj
Abtrünnigkeit (page does not exist),
abtun,
Abu Dhabi,
Abulie,n
Abun,
Abuna,
ab und zu,adv
Abune (page does not exist),
abwägen,v
Abwägung (page does not exist),
abwandeln (page does not exist),
abwandern,v
Abwanderung,
Abwärme,n
abwarten,v
abwärtskompatibel (page does not exist),
Abwärtskompatibilität (page does not exist),
Abwasch (page does not exist),
abwaschen,v
Abwäscher (page does not exist),
Abwäscherin (page does not exist),
Abwasser,n
Abwasserschlamm (page does not exist),
abwechseln (page does not exist),
abwechselnd,
Abwechslung,n
abwechslungsreich,adj
abweden (page does not exist),
Abwehr,n proper
abwehren,v
abweichen,v
Abweichung,n
abweisen,v
abwenden,v
abwerben,v
abwertend,
abwesend,adj
Abwesenheit,n
AB-Whg.,abbr
abwickeln,v
abwiegen,v
abwracken,v
abzählbar,
abzählbare Menge (page does not exist),
abzahlen (page does not exist),
Abzählreim (page does not exist),
Abzeichen,n
abzeichnen,v
abziehbar (page does not exist),
abziehen,v
Abzocke,n
abzocken,v
Abzug,n
abzüglich,prep
Abzugsstück (page does not exist),
abzweigen (page does not exist),
Abzyme (page does not exist),
a cappella,
Accessoire,n
Accra,
ACE,acronym
Acenaphthen (page does not exist),
Acetaldehyd,n
Acetanhydrid (page does not exist),
Acetessigsäure,n
Aceton,n
Acetylcholinesterase,n
Acetylen,n
Acetylsalicylsäure,n
ach,int
Achämenidenreich (page does not exist),
Achäne,n
Achat,n
Achatschnecke,n
Achill,proper
Achillesferse,n
Achillessehne,n
Achilleus,proper
Achim,proper
Ach-Laut (page does not exist),
ach nee (page does not exist),
ach nein (page does not exist),
Achse,n
Achse des Bösen,n
Achsel,n
Achselhöhle,n
Achselhöhlen,n
Achselzucken (page does not exist),
Achsnagel (page does not exist),
ach so,int
Acht,n
acht,num
Achte (page does not exist),
achte,num
Achteck,n
achteckig,adj
Achtel,n
Achtelnote,
achten,v
ächten,v
achteraus (page does not exist),
Achterbahn,n
Achterdeck des Schiffs (page does not exist),
Achtermast (page does not exist),
achtern,prep
Achtersteven,
achtgeben (page does not exist),
Achtpass (page does not exist),
achtsam,
Achtsamkeit,
acht Uhr,n
achtundachtzig,num
achtunddreißig,num
achtundfünfzig,num
achtundneunzig,num
achtundsechzig,num
achtundsiebzig,num
achtundvierzig,num
achtundzwanzig,num
Achtung,n int
achtunggebietend,adj
achtzehn,num
achtzehnte,num
achtzehnter (page does not exist),
achtzig,num
Achtzigjähriger Krieg (page does not exist),
Achtzigste (page does not exist),
achtzigste,num
Achtzigstel (page does not exist),
ach was (page does not exist),
ächzen,
Acid,proper n
Acidität,n
Acker,n
Ackerbaukunde,n
Ackerbohne (page does not exist),
Ackerfräse (page does not exist),
Ackerkratzdistel (page does not exist),
Ackerland,n
ackern,v
Ackersalat (page does not exist),
Acne,n
Acroasphyxia (page does not exist),
Acrylamid (page does not exist),
Actinium,n
action,
Actionfilm (page does not exist),
Adalbert,proper
Adalbrecht,proper
Adalger,proper
Adalwin,proper
Adam,proper
Adamantoblast (page does not exist),
Adamsapfel,n
Adamskostüm (page does not exist),
Adam und Eva,proper
Adapter,n
adäquat,adj
addieren,v
Addis Abeba,proper
Addison-Krankheit (page does not exist),
Addition,n
Additiv,
Add-on (page does not exist),
Adel,n
adel,
Adelar,proper
Adelbert,proper
Adele,proper
Adelger,proper
Adelgunde,proper
Adelheid,proper
Adeliepinguin,n
Adelmar,proper
Adelsschicht (page does not exist),
Aden,
Adenin,n
Adenosintriphosphat,n
Ader,n
