à tout prendre (page does not exist),
à tout prix,
à tout propos (page does not exist),
à tout vent (page does not exist),
à travers,adv
à travers champs (page does not exist),
à tue-tête,adv
à une heure (page does not exist),
à un jet de pierre (page does not exist),
à vendre,adj
à verse (page does not exist),
à vie,adj
à voile et à vapeur,adj
à voix basse (page does not exist),
à voix haute,adv
à vol d'oiseau,
à volonté (page does not exist),
à vos marques (page does not exist),
À vos marques, prêts, partez (page does not exist),
à vos marques, prêts, partez,
à vos souhaits,int
à votre place (page does not exist),
à votre santé,int
à vous (page does not exist),
à vrai dire,adv
à vue de nez (page does not exist),
de A à Z,adv
un à partir de plusieurs (page does not exist),
un à un (page does not exist),
aa,n
AA,init
aalandais,n
Aalandais,n
Aalénien,proper
aalénien,adj
aangström (page does not exist),
Aar,proper
Aarau,proper
Aaron,proper
-able,suffix
ababouiné,adj
abaca,n
abacost,n
abacule,n
abader,v
abaissable,adj
abaissant,adj
abaisse,n
abaissé,adj
abaisse-langue,n
abaissement,n
abaisser,v
abaisseur,adj n
abajoue,n
abaliénation,n
abalone,n
abandogiciel (page does not exist),
abandon,n
abandon de poursuites (page does not exist),
abandon des poursuites (page does not exist),
abandon scolaire,n
abandonnataire,adj n
abandonnateur,adj n
abandonné,adj n
abandonnement,n
abandonnément,adv
abandonner,v
abandonneur,adj n
abandonnique,adj
abaque,n
abarticulaire,adj
abasie,n
abasourdi,adj
abasourdir,v
abasourdissant,adj
abasourdissement,n
abat-faim (page does not exist),
abat-jour,n
abat-vent,n
abat-voix,n
abâtardi,adj
abâtardir,v
abâtardissement,n
abats,n
abattage,n
abattant,adj n
abattée,n
abattement,n
abatteur,n
abatteuse,n
abattis,n
abattoir,n
abattre,v
abattu,adj
abatture,
abattures,n
abaya,n
abaze (page does not exist),n
Abbas,
abbasside,adj
abbatial,adj n
abbatiale,n
abbatiat,n
abbaye,n
abbaye de Westminster (page does not exist),
abbé,n
abbesse,n
Abbeville,proper
abbevillien,adj
Abbevillien,proper
Abbevillois,n
abbevillois,adj
abc,n
abcéder,v
abcédographie,n
abcès,n
Abdallah,proper
Abdias,proper
abdicataire,adj
abdication,n
abdiquer,v
abdo,
abdomen,
abdominal,adj
abdominaux,n
abdos,n
Abdoul,proper
Abdoulaye,proper
Abdoulla,proper
abducteur,n adj
abductif,adj
abduction,n
Abeau,proper
abécédaire,adj n
abécédarien (page does not exist),
abée,n
abeillaud (page does not exist),
abeille,n
abeille à miel,n
abeille charpentière,n
abeille des sables (page does not exist),
abeille maçonne (page does not exist),
abeille mère,
abeille ouvrière,n
abeiller,adj n
Abel,proper
Abélard,proper
abélia,n
abélien,adj
abélienne,
abéliste (page does not exist),
abélite,n
abélonien,n
abénaquis,adj n
Abénaquis,n
aber,n
Aberdeen,proper
Aberdonien,n
aberdonien,adj
aberrance,n
aberrant,adj
aberration,n
aberrer,v
abessif,adj n
abêtir,v
abêtissant,adj
abêtissement,n
abhorrer,v
Abidjan,proper
abidjanais,adj
Abidjanais,n
abies,n
abiétacée,n
abiétacées,n
abiétin,adj
Abigael,
Abigaël (page does not exist),
Abigail,
Abigaïl (page does not exist),
abigéat,n
abîme,n
abîmer,v
abiogenèse,n
abiotique,adj
Abitibi,proper
Abitibien,n
abitibien,adj
abjad,
abject,adj
abjecte,
abjectement,adv
abjection,n
abjuration,n
abjuratoire,adj
abjurer,v
Abkhaze,n
abkhaze,adj n
Abkhazie,proper
Abkhazien,n
abkhazien,adj
ablactation,n
ablastine,n
ablater,v
ablatif,adj n
ablation,n
able,n
ablégat,n
abléphare,n
ablépharie,n
ableret,n
ablette,n
ablier,n
abluer,v
ablution,n
ablutions,n
abnégation,n
Abner,
aboi,n
aboiement,n
abois,n
aboiteau,n
abolir,v
abolissable,adj
abolissement,n
abolitif,adj
abolition,n
abolitionnisme,n
abolitionniste,adj n
aboméen,adj
Aboméen,n
Abomey,proper
abominable,adj
abominable homme des neiges,n
abominablement,adv
abomination,n
abominer,v
abondamment,adv
abondance,n
abondant,adj
abondement,n
abonder,v
abonder dans le sens,v
abonné,adj n
abonnement,n
abonner,v
abonnir,v
abonnissement,n
abord,n
d'abord et avant tout,adv
d’abord et avant tout,
d'abord que,prep
abordable,adj
abordage,n
d'abord,adv
aborder,v
aborder un sujet (page does not exist),
abordeur,adj
abords,n
Aborigène,n
aborigène,adj n
abornement,n
aborner,v
abortif,adj n
abot,n
aboteau,n
Abou Dabi,proper
Abou Simbel,proper
abouchement,n
aboucher,v
Aboukir,proper
abouler,v
aboulie,n
aboulique,adj n
about,n
aboutage (page does not exist),
aboutement,n
